Iteration 14, Epoch 12, Loss: 117.40043447556272
Iteration 15, Epoch 1, Loss: 130.6735928671407
Iteration 15, Epoch 2, Loss: 130.67359286714074
Iteration 15, Epoch 3, Loss: 130.6735928671407
Iteration 15, Epoch 4, Loss: 130.6735928671407
Iteration 15, Epoch 5, Loss: 130.6735928671407
Iteration 15, Epoch 6, Loss: 130.67359286714074
Iteration 15, Epoch 7, Loss: 130.67359286714074
Iteration 15, Epoch 8, Loss: 130.6735928671407
Iteration 15, Epoch 9, Loss: 130.6735928671407
Iteration 15, Epoch 10, Loss: 130.67359286714074
Iteration 15, Epoch 11, Loss: 130.6735928671407
Iteration 16, Epoch 1, Loss: 148.5692669835695
Iteration 16, Epoch 2, Loss: 148.56926698356952
Iteration 16, Epoch 3, Loss: 148.5692669835695
Iteration 16, Epoch 4, Loss: 148.56926698356952
Iteration 16, Epoch 5, Loss: 148.5692669835695
Iteration 16, Epoch 6, Loss: 148.5692669835695
Iteration 16, Epoch 7, Loss: 148.5692669835695
Iteration 16, Epoch 8, Loss: 148.5692669835695
Iteration 16, Epoch 9, Loss: 148.5692669835695
Iteration 16, Epoch 10, Loss: 148.5692669835695
Iteration 16, Epoch 11, Loss: 148.5692669835695
Iteration 17, Epoch 1, Loss: 141.9877139037763
Iteration 17, Epoch 2, Loss: 141.9877139037763
Iteration 17, Epoch 3, Loss: 141.9877139037763
Iteration 17, Epoch 4, Loss: 141.9877139037763
Iteration 17, Epoch 5, Loss: 141.9877139037763
Iteration 17, Epoch 6, Loss: 141.9877139037763
Iteration 17, Epoch 7, Loss: 141.9877139037763
Iteration 17, Epoch 8, Loss: 141.9877139037763
Iteration 17, Epoch 9, Loss: 141.9877139037763
Iteration 17, Epoch 10, Loss: 141.9877139037763
Iteration 17, Epoch 11, Loss: 141.9877139037763
Iteration 18, Epoch 1, Loss: 165.70683571207655
Iteration 18, Epoch 2, Loss: 165.70683571207653
Iteration 18, Epoch 3, Loss: 165.70683571207655
Iteration 18, Epoch 4, Loss: 165.70683571207655
Iteration 18, Epoch 5, Loss: 165.70683571207655
Iteration 18, Epoch 6, Loss: 165.70683571207653
Iteration 18, Epoch 7, Loss: 165.70683571207653
Iteration 18, Epoch 8, Loss: 165.70683571207653
Iteration 18, Epoch 9, Loss: 165.70683571207655
Iteration 18, Epoch 10, Loss: 165.70683571207653
Iteration 18, Epoch 11, Loss: 165.70683571207655
Iteration 18, Epoch 12, Loss: 165.70683571207655
Iteration 19, Epoch 1, Loss: 130.51368640188315
Iteration 19, Epoch 2, Loss: 130.51368640188315
Iteration 19, Epoch 3, Loss: 130.51368640188312
Iteration 19, Epoch 4, Loss: 130.51368640188315
Iteration 19, Epoch 5, Loss: 130.51368640188312
Iteration 19, Epoch 6, Loss: 130.51368640188315
Iteration 19, Epoch 7, Loss: 130.51368640188315
Iteration 19, Epoch 8, Loss: 130.51368640188312
Iteration 19, Epoch 9, Loss: 130.51368640188315
Iteration 19, Epoch 10, Loss: 130.51368640188312
Iteration 19, Epoch 11, Loss: 130.51368640188315
Iteration 19, Epoch 12, Loss: 130.51368640188315
Iteration 19, Epoch 13, Loss: 130.51368640188315
Iteration 20, Epoch 1, Loss: 121.65868889255495
Iteration 20, Epoch 2, Loss: 121.65868889255495
Iteration 20, Epoch 3, Loss: 121.65868889255495
Iteration 20, Epoch 4, Loss: 121.65868889255495
Iteration 20, Epoch 5, Loss: 121.65868889255495
Iteration 20, Epoch 6, Loss: 121.65868889255495
Iteration 20, Epoch 7, Loss: 121.65868889255495
Iteration 20, Epoch 8, Loss: 121.65868889255495
Iteration 20, Epoch 9, Loss: 121.65868889255495
Iteration 20, Epoch 10, Loss: 121.65868889255495
Iteration 20, Epoch 11, Loss: 121.65868889255492
Iteration 20, Epoch 12, Loss: 121.65868889255495
Iteration 20, Epoch 13, Loss: 121.65868889255495
Iteration 20, Epoch 14, Loss: 121.65868889255495
Iteration 20, Epoch 15, Loss: 121.65868889255495
Iteration 20, Epoch 16, Loss: 121.65868889255495
Iteration 20, Epoch 17, Loss: 121.65868889255495
Iteration 20, Epoch 18, Loss: 121.65868889255495
Iteration 20, Epoch 19, Loss: 121.65868889255495
Iteration 20, Epoch 20, Loss: 121.65868889255495
Iteration 20, Epoch 21, Loss: 121.65868889255495
Iteration 21, Epoch 1, Loss: 147.28158554448896
Iteration 21, Epoch 2, Loss: 147.28158554448896
Iteration 21, Epoch 3, Loss: 147.28158554448896
Iteration 21, Epoch 4, Loss: 147.28158554448896
Iteration 21, Epoch 5, Loss: 147.28158554448896
Iteration 21, Epoch 6, Loss: 147.28158554448896
Iteration 21, Epoch 7, Loss: 147.28158554448896
Iteration 21, Epoch 8, Loss: 147.28158554448896
Iteration 21, Epoch 9, Loss: 147.28158554448896
Iteration 21, Epoch 10, Loss: 147.28158554448896
Iteration 21, Epoch 11, Loss: 147.28158554448896
Iteration 22, Epoch 1, Loss: 129.85887908136203
Iteration 22, Epoch 2, Loss: 129.85887908136203
Iteration 22, Epoch 3, Loss: 129.85887908136203
Iteration 22, Epoch 4, Loss: 129.85887908136203
Iteration 22, Epoch 5, Loss: 129.85887908136203
Iteration 22, Epoch 6, Loss: 129.85887908136203
Iteration 22, Epoch 7, Loss: 129.85887908136203
Iteration 22, Epoch 8, Loss: 129.85887908136203
Iteration 22, Epoch 9, Loss: 129.85887908136203
Iteration 22, Epoch 10, Loss: 129.85887908136203
Iteration 22, Epoch 11, Loss: 129.85887908136203
Iteration 23, Epoch 1, Loss: 147.94615580155258
Iteration 23, Epoch 2, Loss: 147.94615580155258
Iteration 23, Epoch 3, Loss: 147.94615580155258
Iteration 23, Epoch 4, Loss: 147.94615580155258
Iteration 23, Epoch 5, Loss: 147.94615580155255
Iteration 23, Epoch 6, Loss: 147.94615580155258
Iteration 23, Epoch 7, Loss: 147.94615580155258
Iteration 23, Epoch 8, Loss: 147.94615580155258
Iteration 23, Epoch 9, Loss: 147.94615580155258
Iteration 23, Epoch 10, Loss: 147.94615580155258
Iteration 23, Epoch 11, Loss: 147.94615580155255
Iteration 23, Epoch 12, Loss: 147.94615580155258
Iteration 23, Epoch 13, Loss: 147.94615580155258
Iteration 23, Epoch 14, Loss: 147.94615580155255
Iteration 23, Epoch 15, Loss: 147.94615580155258
Iteration 24, Epoch 1, Loss: 139.86695764085943
Iteration 24, Epoch 2, Loss: 139.86695764085943
Iteration 24, Epoch 3, Loss: 139.86695764085943
Iteration 24, Epoch 4, Loss: 139.86695764085943
Iteration 24, Epoch 5, Loss: 139.86695764085943
Iteration 24, Epoch 6, Loss: 139.86695764085943
Iteration 24, Epoch 7, Loss: 139.86695764085943
Iteration 24, Epoch 8, Loss: 139.86695764085943
Iteration 24, Epoch 9, Loss: 139.86695764085943
Iteration 24, Epoch 10, Loss: 139.86695764085943
Iteration 24, Epoch 11, Loss: 139.86695764085943
Iteration 25, Epoch 1, Loss: 155.19618439476432
Iteration 25, Epoch 2, Loss: 155.19618439476432
Iteration 25, Epoch 3, Loss: 155.1961843947643
Iteration 25, Epoch 4, Loss: 155.19618439476432
Iteration 25, Epoch 5, Loss: 155.1961843947643
Iteration 25, Epoch 6, Loss: 155.1961843947643
Iteration 25, Epoch 7, Loss: 155.1961843947643
Iteration 25, Epoch 8, Loss: 155.1961843947643
Iteration 25, Epoch 9, Loss: 155.1961843947643
